name,city,swiftCode,country,countryFlag,email,secondaryEmail,pocName,pocPhone
Allied Bank,Karachi,ALALPKKA,Pakistan,🇵🇰,Test+abl@themodventures.com,,Talha Bin Ali Khan,+9221111225252
Askari Bank,Islamabad,ASCMPKKA,Pakistan,🇵🇰,Test+askari@themodventures.com,,Amna Hassan,+9221111000787
Bank of China,Karachi,BKCHPKKAXXX,Pakistan,🇵🇰,Test+bok@themodventures.com,,Wang Yang ,+922135208988
Bank of Punjab,Lahore,BPUNPKKA,Pakistan,🇵🇰,Test+bop@themodventures.com,,Azeem Abbas ,+9221111267200
Bank Islami Ltd,Karachi,BKIPPKKXXX,Pakistan,🇵🇰,Test+bankislami@themodventures.com,,Faisal Anwar,+9221111475264
Dubai Islamic Bank ,Karachi,DUIBPKKA,Pakistan,🇵🇰,Test+dubai@themodventures.com,,Dr. Naim Abdullah,+92111786342
Faysal Bank Ltd,Karachi,FAYSPKKA,Pakistan,🇵🇰,Test+fbl@themodventures.com,,Mr. Muhammad Shahid Abbas,+9221111060606
JS Bank Ltd,Karachi,JSBLPKKA,Pakistan,🇵🇰,Test+js@themodventures.com,,Mr. Muhammad Tayyab Khurshid,+9221111654321
MCB,Lahore,MUCBPKKA,Pakistan,🇵🇰,Test+mcb@themodventures.com,,Syed Adrish Ali Hashmi ,+9242111000622
Soneri Bank,Karachi,SONEPKKA,Pakistan,🇵🇰,Test+soneri@themodventures.com,,Khola Abid,+9221111766374
United Bank Ltd,Karachi,UNILPKKA,Pakistan,🇵🇰,Test+united@themodventures.com,,Sameer Ul Hassan Dawoodani ,+9221111825888
Al baraka Bank,Karachi,AIINPKKA,Pakistan,🇵🇰,Test+baraka@themodventures.com,,Mazhar Hussain,+9221111113442
Meezan Bank,Karachi,MEZNPKKA,Pakistan,🇵🇰,themodventures2024+Meezan@gmail.com,,Mr. Syed Yasir Ali,+9221111331331
Bank Alhabib Ltd,Karachi,BAHPPKKA,Pakistan,🇵🇰,themodventures2024+alhabib@gmail.com,,Mr. Muhammad Ahmed Bugti,+9221111014014
Standard Chartred Pakistan,Karachi,SCBLPKKXXXX,Pakistan,🇵🇰,themodventures2024+standard@gmail.com,,Ms. Anum Naeem ,+9221111002002
JP Morgan,Karachi,CHASPJKAXXX,Pakistan,🇵🇰,themodventures2024+jp@gmail.com,,Ms. Faliha Naeem,+922135610861
Mashreq Bank,Karachi,MSHQPKKAXXX,Pakistan,🇵🇰,themodventures2024+Mashreq@gmail.com,,Mr. Shahid Yousuf ,+9221111000636
Bank Makarmah,Karachi,SUMBPKKA,Pakistan,🇵🇰,themodventures2024+Mukarmah@gmail.com,,Mr. Ali Kashif Rizvi ,+9221111124365
CitiBank,Karachi,CITIPKKA,Pakistan,🇵🇰,themodventures2024+CB@gmail.com,,Mr. Shaheryar Mehdi,+9221111999999
Bank Alfalah Ltd,Karachi,ALFHPKKA,Pakistan,🇵🇰,themodventures2024+bafl@gmail.com,,Faisal Rashid,+92021111225226
Habib Metro Bank,Karachi,MPBLPKKA,Pakistan,🇵🇰,themodventures2024+metro@gmail.com,,Ms. Sehba Mansoor,+9221111142242
National bank of pakistan,Karachi,NBPAPKKA,Pakistan,🇵🇰,themodventures2024+nbp@gmail.com,,Mr. Muhammad Shahnawaz,+9221111627627
Bank of khyber,Peshawar,BOKHPKKA,Pakistan,🇵🇰,themodventures2024+khyber@gmail.com,,Fauziah Mahmood,+92111959595
Habib bank Ltd,Karachi,HABBPKKA,Pakistan,🇵🇰,themodventures2023+hbl@gmail.com,,Risha A. Mohyeddin,+922132456213
First Women Bank,Karachi,FWBLPKKA,Pakistan,🇵🇰,themodventures2023+women@gmail.com,,Rukhsana Moulabux,+9212134386714
Sindh Bank ,Karachi,SINDPKKA,Pakistan,🇵🇰,themodventures2023+sindh@gmail.com,,Centralized Foreign Trade Dept-CFTD,+922132440618
