name,city,swiftCode,country,countryFlag,email,secondaryEmail,pocName,pocPhone
National Bank of Bahrain,Manama,NBOBBHBM,Bahrain,🇧🇭,ahmed.nbb@mailinator.com,nbb@mailinator.com,Ahmed Al Khalifa,+97317211311
Ahli United Bank,Manama,AUBBBHBM,Bahrain,🇧🇭,fatima.aub@mailinator.com,aub@mailinator.com,Fatima Al Dosari,+97317533233
Bank of Bahrain and Kuwait,Manama,BBKUBHBM,Bahrain,🇧🇭,salman.bbk@mailinator.com,bbk@mailinator.com,Salman Al Jowder,+97317202777
Gulf International Bank,Manama,GULFBHBM,Bahrain,🇧🇭,khalid.gib@mailinator.com,gib@mailinator.com,Khalid Al Ghanem,+97317520000
Emirates NBD,Dubai,EBILAEAD,United Arab Emirates,🇦🇪,omar.enbd@mailinator.com,enbd@mailinator.com,Omar Al Suwaidi,+97143160316
Abu Dhabi Commercial Bank,Abu Dhabi,ADCBAEAA,United Arab Emirates,🇦🇪,layla.adcb@mailinator.com,adcb@mailinator.com,Layla Al Mansoori,+97126211000
First Abu Dhabi Bank,Abu Dhabi,NBADAEAA,United Arab Emirates,🇦🇪,hassan.fab@mailinator.com,fab@mailinator.com,Hassan Al Fardan,+97126922222
Dubai Islamic Bank,Dubai,DUIBAEAD,United Arab Emirates,🇦🇪,aisha.dib@mailinator.com,dib@mailinator.com,Aisha Al Shamsi,+97142953000
Mashreq Bank,Dubai,BOMLAEAD,United Arab Emirates,🇦🇪,nasser.mashreq@mailinator.com,mashreq@mailinator.com,Nasser Al Habtoor,+97144244444
Qatar National Bank,Doha,QNBAQAQA,Qatar,🇶🇦,mohammed.qnb@mailinator.com,qnb@mailinator.com,Mohammed Al Thani,+97444407777
Doha Bank,Doha,DOHBQAQA,Qatar,🇶🇦,sara.dohabank@mailinator.com,dohabank@mailinator.com,Sara Al Kuwari,+97444456000
Commercial Bank of Qatar,Doha,CBQAQAQA,Qatar,🇶🇦,jassim.cbq@mailinator.com,cbq@mailinator.com,Jassim Al Emadi,+97444490000
Qatar Islamic Bank,Doha,QISBQAQA,Qatar,🇶🇦,maryam.qib@mailinator.com,qib@mailinator.com,Maryam Al Saadi,+97444448444
Al Rayan Bank,Doha,MAFRQAQA,Qatar,🇶🇦,youssef.alrayan@mailinator.com,alrayan@mailinator.com,Youssef Al Marri,+97444253333
Al Rajhi Bank,Riyadh,RJHISARI,Saudi Arabia,🇸🇦,abdullah.alrajhi@mailinator.com,alrajhi@mailinator.com,Abdullah Al Rajhi,+966114603333
National Commercial Bank,Jeddah,NCBKSAJE,Saudi Arabia,🇸🇦,faisal.ncb@mailinator.com,ncb@mailinator.com,Faisal Al Nasser,+966126460000
Riyad Bank,Riyadh,RIBLSARI,Saudi Arabia,🇸🇦,maha.riyadbank@mailinator.com,riyadbank@mailinator.com,Maha Al Dabbagh,+966114013030
Samba Financial Group,Riyadh,SAMBSARI,Saudi Arabia,🇸🇦,tariq.samba@mailinator.com,samba@mailinator.com,Tariq Al Qahtani,+966114797000
Banque Saudi Fransi,Riyadh,BSFRSARI,Saudi Arabia,🇸🇦,laila.bsf@mailinator.com,bsf@mailinator.com,Laila Al Jasser,+966112899999
Habib Bank Limited,Karachi,HABBPKKA,Pakistan,🇵🇰,imran.hbl@mailinator.com,hbl@mailinator.com,Imran Ahmed,+922111111425
United Bank Limited,Karachi,UNILPKKA,Pakistan,🇵🇰,ayesha.ubl@mailinator.com,ubl@mailinator.com,Ayesha Khan,+9221111825888
MCB Bank,Lahore,MUCBPKKA,Pakistan,🇵🇰,salman.mcb@mailinator.com,mcb@mailinator.com,Salman Shah,+9242111000622
National Bank of Pakistan,Karachi,NBPAPKKA,Pakistan,🇵🇰,rabia.nbp@mailinator.com,nbp@mailinator.com,Rabia Malik,+9221111627627
Bank Alfalah,Karachi,ALFHPKKA,Pakistan,🇵🇰,zeeshan.alfalah@mailinator.com,alfalah@mailinator.com,Zeeshan Ali,+9221111225111
National Bank of Egypt,Cairo,NBEGEGCX,Egypt,🇪🇬,ahmed.nbe@mailinator.com,nbe@mailinator.com,Ahmed Mostafa,+20225945000
Ziraat Bank,Ankara,TCZBTR2A,Turkey,🇹🇷,mustafa.ziraat@mailinator.com,ziraat@mailinator.com,Mustafa Yilmaz,+903125842000
Isbank,Istanbul,ISBKTRIS,Turkey,🇹🇷,elif.isbank@mailinator.com,isbank@mailinator.com,Elif Demir,+902123160000
Garanti BBVA,Istanbul,TGBATRIS,Turkey,🇹🇷,ahmet.garanti@mailinator.com,garanti@mailinator.com,Ahmet Kaya,+902123181818
Yapi Kredi Bank,Istanbul,YAPITRIS,Turkey,🇹🇷,mehmet.yapikredi@mailinator.com,yapikredi@mailinator.com,Mehmet Can,+902123397000
Akbank,Istanbul,AKBKTRIS,Turkey,🇹🇷,fatma.akbank@mailinator.com,akbank@mailinator.com,Fatma Aydin,+902122525050
Banque Misr,Cairo,BMISEGCX,Egypt,🇪🇬,mona.banquemisr@mailinator.com,banquemisr@mailinator.com,Mona El Sayed,+20223918000
